State_Name,State_District_Name,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Person_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Person_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Person_Total,KK_Having_Diagnosed_For_Chronic_Illness_Per_100000_Population_Diabetes_Person_Total,KK_Having_Diagnosed_For_Chronic_Illness_Per_100000_Population_Hypertension_Person_Total,KK_Having_Diagnosed_For_Chronic_Illness_Per_100000_Population_Tuberculosis_Tb_Person_Total,KK_Having_Diagnosed_For_Chronic_Illness_Per_100000_Population_Asthma_Chronic_Respiratory_Disease_Person_Total
Assam,Barpeta,752,290,2721,847,2449,234,929
Assam,Bongaigaon,359,634,2906,452,2336,126,466
Assam,Cachar,3368,4453,9987,1194,5299,299,651
Assam,Darrang,305,455,2054,371,1833,293,539
Assam,Dhemaji,614,1654,2704,349,1522,137,286
Assam,Dhubri,778,674,3079,481,1454,421,1134
Assam,Dibrugarh,1445,8548,5556,1330,6555,364,680
Assam,Goalpara,1232,518,2968,462,1990,216,433
Assam,Golaghat,2118,9599,4563,922,7346,510,701
Assam,Hailakandi,3602,12433,2671,971,3832,331,700
Assam,Jorhat,1888,11031,3308,1296,8122,343,885
Assam,Kamrup,629,529,2812,1459,3190,138,232
Assam,Karbi Anglong,1684,10274,3730,628,4205,220,356
Assam,Karimganj,3245,9790,5671,931,4687,350,767
Assam,Kokrajhar,397,3225,748,237,1362,155,283
Assam,Lakhimpur,663,362,2124,694,2252,219,511
Assam,Marigaon,719,78,2892,499,1659,307,770
Assam,Nagaon,2111,16841,2378,1443,6767,324,1058
Assam,Nalbari,660,664,2528,1017,3634,128,625
Assam,North Cachar Hills,2313,4168,3217,642,2888,77,174
Assam,Sibsagar,1836,7412,2808,1174,7077,256,438
Assam,Sonitpur,759,445,1269,654,2528,303,402
Assam,Tinsukia,1799,9760,3372,1074,5166,496,451
Bihar,Araria,3134,4584,13187,171,514,294,886
Bihar,Aurangabad,535,1469,3786,477,1324,466,707
Bihar,Banka,412,2798,6162,468,774,502,1234
Bihar,Begusarai,890,4709,7463,531,1055,965,3879
Bihar,Bhagalpur,316,3099,4850,563,861,495,960
Bihar,Bhojpur,255,877,2619,535,778,275,713
Bihar,Buxar,237,1743,4189,511,616,245,967
Bihar,Darbhanga,2514,8593,9371,240,805,347,1363
Bihar,Gaya,554,1885,4280,449,794,497,1098
Bihar,Gopalganj,2025,4578,4851,432,830,126,801
Bihar,Jamui,390,945,5288,277,436,364,889
Bihar,Jehanabad,263,4859,1085,446,788,436,1315
Bihar,Kaimur (Bhabua),390,2161,4880,314,810,403,1383
Bihar,Katihar,2176,4880,10357,358,699,408,912
Bihar,Khagaria,2464,2051,3885,283,737,468,1406
Bihar,Kishanganj,3899,5352,16517,196,582,152,591
Bihar,Lakhisarai,388,3461,5171,572,1139,573,2380
Bihar,Madhepura,1849,2416,7974,220,485,521,887
Bihar,Madhubani,2280,6771,6139,205,1004,219,951
Bihar,Munger,172,1011,3862,634,605,419,1180
Bihar,Muzaffarpur,2698,5166,6842,342,1154,482,1157
Bihar,Nalanda,783,6419,2431,448,1073,524,1311
Bihar,Nawada,671,2431,2729,339,879,370,1263
Bihar,Pashchim Champaran,3384,7293,12656,252,749,522,1179
Bihar,Patna,202,4442,1979,1058,902,442,1209
Bihar,Purba Champaran,4435,6517,12495,380,948,222,1088
Bihar,Purnia,4736,12735,8134,302,593,478,1176
Bihar,Rohtas,307,4270,4802,494,1283,469,1315
Bihar,Saharsa,3430,2303,10020,267,621,426,1058
Bihar,Samastipur,2500,4381,5445,218,820,205,1837
Bihar,Saran,1519,2520,4943,240,598,235,1050
Bihar,Sheikhpura,428,5280,2569,490,1114,453,1378
Bihar,Sheohar,3915,9026,16778,117,611,407,1406
Bihar,Sitamarhi,4792,11903,8988,272,1073,195,1341
Bihar,Siwan,1347,1647,2919,298,472,140,385
Bihar,Supaul,2126,3365,6398,149,487,232,769
Bihar,Vaishali,1519,5984,8236,313,906,340,950
Chhattisgarh,Bastar,1042.71,880.04,1902.82,307.01,220.42,65.85,256.4
Chhattisgarh,Bilaspur,708.3,4945.03,3459.3,820.88,779.01,145.26,600.81
Chhattisgarh,Dantewada,2149.3,433.21,5201.34,185.67,127.95,115.62,470.13
Chhattisgarh,Dhamtari,2259.32,12211.86,4129.04,611.73,1041.71,237.3,568.31
Chhattisgarh,Durg,463.33,1544.7,4110.61,722.43,783.83,109.08,589.06
Chhattisgarh,Janjgir-Champa,815.72,4529.56,9322.87,292.95,433,262.34,387.2
Chhattisgarh,Jashpur,1018.35,5691.92,10032.67,290.04,231.9,324.93,564.67
Chhattisgarh,Kanker,395.76,2443.27,3450.16,510.03,366.28,150.99,679.53
