,State_Name,State_District_Name,Diarrhoea_Dysentery,respiratory_infection,fever,Diabetes,hypertension,Tuberculosis,Asthama
0,Assam,Barpeta,0.752,0.29,2.721,0.847,2.449,0.234,0.929
1,Assam,Bongaigaon,0.359,0.634,2.906,0.452,2.336,0.126,0.466
2,Assam,Cachar,3.368,4.453,9.987,1.194,5.299,0.299,0.651
3,Assam,Darrang,0.305,0.455,2.054,0.371,1.833,0.293,0.539
4,Assam,Dhemaji,0.614,1.654,2.704,0.349,1.522,0.137,0.286
5,Assam,Dhubri,0.778,0.674,3.079,0.481,1.454,0.421,1.134
6,Assam,Dibrugarh,1.445,8.548,5.556,1.33,6.555,0.364,0.68
7,Assam,Goalpara,1.232,0.518,2.968,0.462,1.99,0.216,0.433
8,Assam,Golaghat,2.118,9.599,4.563,0.922,7.346,0.51,0.701
9,Assam,Hailakandi,3.602,12.433,2.671,0.971,3.832,0.331,0.7
10,Assam,Jorhat,1.888,11.031,3.308,1.296,8.122,0.343,0.885
11,Assam,Kamrup,0.629,0.529,2.812,1.459,3.19,0.138,0.232
12,Assam,Karbi Anglong,1.684,10.274,3.73,0.628,4.205,0.22,0.356
13,Assam,Karimganj,3.245,9.79,5.671,0.931,4.687,0.35,0.767
14,Assam,Kokrajhar,0.397,3.225,0.748,0.237,1.362,0.155,0.283
15,Assam,Lakhimpur,0.663,0.362,2.124,0.694,2.252,0.219,0.511
16,Assam,Marigaon,0.719,0.078,2.892,0.499,1.659,0.307,0.77
17,Assam,Nagaon,2.111,16.841,2.378,1.443,6.767,0.324,1.058
18,Assam,Nalbari,0.66,0.664,2.528,1.017,3.634,0.128,0.625
19,Assam,North Cachar Hills,2.313,4.168,3.217,0.642,2.888,0.077,0.174
20,Assam,Sibsagar,1.836,7.412,2.808,1.174,7.077,0.256,0.438
21,Assam,Sonitpur,0.759,0.445,1.269,0.654,2.528,0.303,0.402
22,Assam,Tinsukia,1.799,9.76,3.372,1.074,5.166,0.496,0.451
23,Bihar,Araria,3.134,4.584,13.187,0.171,0.514,0.294,0.886
24,Bihar,Aurangabad,0.535,1.469,3.786,0.477,1.324,0.466,0.707
25,Bihar,Banka,0.412,2.798,6.162,0.468,0.774,0.502,1.234
26,Bihar,Begusarai,0.89,4.709,7.463,0.531,1.055,0.965,3.879
27,Bihar,Bhagalpur,0.316,3.099,4.85,0.563,0.861,0.495,0.96
28,Bihar,Bhojpur,0.255,0.877,2.619,0.535,0.778,0.275,0.713
29,Bihar,Buxar,0.237,1.743,4.189,0.511,0.616,0.245,0.967
30,Bihar,Darbhanga,2.514,8.593,9.371,0.24,0.805,0.347,1.363
31,Bihar,Gaya,0.554,1.885,4.28,0.449,0.794,0.497,1.098
32,Bihar,Gopalganj,2.025,4.578,4.851,0.432,0.83,0.126,0.801
33,Bihar,Jamui,0.39,0.945,5.288,0.277,0.436,0.364,0.889
34,Bihar,Jehanabad,0.263,4.859,1.085,0.446,0.788,0.436,1.315
35,Bihar,Kaimur (Bhabua),0.39,2.161,4.88,0.314,0.81,0.403,1.383
